participante,id_participante,jogo,fase,data,selecao_1,palpite_1,palpite_2,selecao_2,status
Carrion,carrion,9,Fase de Grupos,2026-06-18,Suíça,0,0,Bósnia,OK
Carrion,carrion,10,Fase de Grupos,2026-06-18,Canadá,3,0,Catar,OK
Carrion,carrion,11,Fase de Grupos,2026-06-24,Suíça,1,1,Canadá,OK
Carrion,carrion,12,Fase de Grupos,2026-06-24,Bósnia,0,0,Catar,OK
Carrion,carrion,13,Fase de Grupos,2026-06-13,Brasil,0,0,Marrocos,OK
Carrion,carrion,14,Fase de Grupos,2026-06-13,Haiti,0,2,Escócia,OK
Carrion,carrion,15,Fase de Grupos,2026-06-19,Escócia,0,1,Marrocos,OK
Carrion,carrion,16,Fase de Grupos,2026-06-19,Brasil,5,1,Haiti,OK
Carrion,carrion,17,Fase de Grupos,2026-06-24,Escócia,0,2,Brasil,OK
Carrion,carrion,18,Fase de Grupos,2026-06-24,Marrocos,1,0,Haiti,OK
Carrion,carrion,19,Fase de Grupos,2026-06-12,Estados Unidos,0,1,Paraguai,OK
Carrion,carrion,20,Fase de Grupos,2026-06-14,Austrália,0,2,Turquia,OK
Carrion,carrion,21,Fase de Grupos,2026-06-19,Estados Unidos,1,1,Austrália,OK
Carrion,carrion,22,Fase de Grupos,2026-06-20,Turquia,1,3,Paraguai,OK
Carrion,carrion,23,Fase de Grupos,2026-06-25,Turquia,2,1,Estados Unidos,OK
Carrion,carrion,24,Fase de Grupos,2026-06-25,Paraguai,1,1,Austrália,OK
Carrion,carrion,25,Fase de Grupos,2026-06-14,Alemanha,6,0,Curaçau,OK
Carrion,carrion,26,Fase de Grupos,2026-06-14,Costa do Marfim,1,2,Equador,OK
Carrion,carrion,27,Fase de Grupos,2026-06-20,Alemanha,1,2,Costa do Marfim,OK
Carrion,carrion,28,Fase de Grupos,2026-06-20,Equador,4,0,Curaçau,OK
Carrion,carrion,29,Fase de Grupos,2026-06-25,Curaçau,0,3,Costa do Marfim,OK
Carrion,carrion,30,Fase de Grupos,2026-06-25,Equador,1,3,Alemanha,OK
Carrion,carrion,31,Fase de Grupos,2026-06-14,Países Baixos,2,1,Japão,OK
Carrion,carrion,32,Fase de Grupos,2026-06-14,Suécia,1,0,Tunísia,OK
Carrion,carrion,33,Fase de Grupos,2026-06-20,Países Baixos,2,0,Suécia,OK
Carrion,carrion,34,Fase de Grupos,2026-06-21,Tunísia,0,2,Japão,OK
Carrion,carrion,35,Fase de Grupos,2026-06-25,Japão,1,0,Suécia,OK
Carrion,carrion,36,Fase de Grupos,2026-06-25,Tunísia,0,2,Países Baixos,OK
Carrion,carrion,37,Fase de Grupos,2026-06-15,Bélgica,2,1,Egito,OK
Carrion,carrion,38,Fase de Grupos,2026-06-15,Irã,1,0,Nova Zelândia,OK
Carrion,carrion,39,Fase de Grupos,2026-06-21,Bélgica,2,0,Irã,OK
Carrion,carrion,40,Fase de Grupos,2026-06-21,Nova Zelândia,0,2,Egito,OK
Carrion,carrion,41,Fase de Grupos,2026-06-27,Egito,1,0,Irã,OK
Carrion,carrion,42,Fase de Grupos,2026-06-27,Nova Zelândia,0,3,Bélgica,OK
Carrion,carrion,43,Fase de Grupos,2026-06-15,Espanha,5,0,Cabo Verde,OK
Carrion,carrion,44,Fase de Grupos,2026-06-15,Arábia Saudita,1,3,Uruguai,OK
Carrion,carrion,45,Fase de Grupos,2026-06-21,Espanha,3,0,Arábia Saudita,OK
Carrion,carrion,46,Fase de Grupos,2026-06-21,Uruguai,4,1,Cabo Verde,OK
Carrion,carrion,47,Fase de Grupos,2026-06-26,Cabo Verde,1,1,Arábia Saudita,OK
Carrion,carrion,48,Fase de Grupos,2026-06-26,Uruguai,3,4,Espanha,OK
Carrion,carrion,49,Fase de Grupos,2026-06-16,França,1,2,Senegal,OK
Carrion,carrion,50,Fase de Grupos,2026-06-16,Iraque,1,3,Noruega,OK
Carrion,carrion,51,Fase de Grupos,2026-06-22,França,4,0,Iraque,OK
Carrion,carrion,52,Fase de Grupos,2026-06-22,Noruega,1,1,Senegal,OK
Carrion,carrion,53,Fase de Grupos,2026-06-26,Noruega,1,2,França,OK
Carrion,carrion,54,Fase de Grupos,2026-06-26,Senegal,1,0,Iraque,OK
Carrion,carrion,55,Fase de Grupos,2026-06-16,Argentina,4,1,Argélia,OK
Carrion,carrion,56,Fase de Grupos,2026-06-17,Áustria,2,1,Jordânia,OK
Carrion,carrion,57,Fase de Grupos,2026-06-22,Argentina,1,1,Áustria,OK
Carrion,carrion,58,Fase de Grupos,2026-06-23,Jordânia,1,3,Argélia,OK
Carrion,carrion,59,Fase de Grupos,2026-06-27,Argélia,2,2,Áustria,OK
Carrion,carrion,60,Fase de Grupos,2026-06-27,Jordânia,0,5,Argentina,OK
Carrion,carrion,61,Fase de Grupos,2026-06-17,Portugal,3,0,RD Congo,OK
Carrion,carrion,62,Fase de Grupos,2026-06-17,Uzbequistão,0,2,Colômbia,OK
Carrion,carrion,63,Fase de Grupos,2026-06-23,Portugal,4,1,Uzbequistão,OK
Carrion,carrion,64,Fase de Grupos,2026-06-23,Colômbia,1,0,RD Congo,OK
Carrion,carrion,65,Fase de Grupos,2026-06-27,Colômbia,2,1,Portugal,OK
Carrion,carrion,66,Fase de Grupos,2026-06-27,RD Congo,0,0,Uzbequistão,OK
Carrion,carrion,67,Fase de Grupos,2026-06-17,Inglaterra,1,1,Croácia,OK
Carrion,carrion,68,Fase de Grupos,2026-06-17,Gana,3,2,Panamá,OK
Carrion,carrion,69,Fase de Grupos,2026-06-23,Inglaterra,2,1,Gana,OK
